ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
3037,20300,MW00000,BU03631100,2016JJ00,Amsterdam,Buurt,BU03631100,.
3038,20300,MW00000,BU03631100,2020JJ00,Amsterdam,Buurt,BU03631100,82.8
3039,20300,MW00000,BU03631102,2012JJ00,Amsterdam,Buurt,BU03631102,.
3040,20300,MW00000,BU03631102,2016JJ00,Amsterdam,Buurt,BU03631102,.
3041,20300,MW00000,BU03631102,2020JJ00,Amsterdam,Buurt,BU03631102,.
3042,20300,MW00000,BU03631103,2012JJ00,Amsterdam,Buurt,BU03631103,76.5
3043,20300,MW00000,BU03631103,2016JJ00,Amsterdam,Buurt,BU03631103,78.1
3044,20300,MW00000,BU03631103,2020JJ00,Amsterdam,Buurt,BU03631103,78.5
3045,20300,MW00000,BU03631104,2012JJ00,Amsterdam,Buurt,BU03631104,78.4
3046,20300,MW00000,BU03631104,2016JJ00,Amsterdam,Buurt,BU03631104,77.1
3047,20300,MW00000,BU03631104,2020JJ00,Amsterdam,Buurt,BU03631104,81.8
3048,20300,MW00000,BU03631105,2012JJ00,Amsterdam,Buurt,BU03631105,79.8
3049,20300,MW00000,BU03631105,2016JJ00,Amsterdam,Buurt,BU03631105,85.0
3050,20300,MW00000,BU03631105,2020JJ00,Amsterdam,Buurt,BU03631105,84.8
3051,20300,MW00000,BU03631107,2012JJ00,Amsterdam,Buurt,BU03631107,.
3052,20300,MW00000,BU03631107,2016JJ00,Amsterdam,Buurt,BU03631107,.
3053,20300,MW00000,BU03631107,2020JJ00,Amsterdam,Buurt,BU03631107,.
3054,20300,MW00000,BU03631109,2012JJ00,Amsterdam,Buurt,BU03631109,.
3055,20300,MW00000,BU03631109,2016JJ00,Amsterdam,Buurt,BU03631109,.
3056,20300,MW00000,BU03631109,2020JJ00,Amsterdam,Buurt,BU03631109,.
3057,20300,MW00000,WK036312,2012JJ00,Amsterdam,Wijk,WK036312,86.3
